Kategori: Tüm kategoriler

Ülke,Machine Learning: (14.02.2018 - 14.02.2023)
Çin,100
Singapur,47
Etiyopya,47
Ruanda,
Saint Helena,35
Hindistan,35
Zimbabve,
Botsvana,
Hong Kong,25
Pakistan,25
Tunus,24
Bangladeş,22
Nepal,22
Güney Kore,22
Madagaskar,
Sri Lanka,19
Malavi,
Kenya,18
Lüksemburg,
Birleşik Arap Emirlikleri,16
Kanada,16
İsviçre,16
Nijerya,16
İsrail,16
İrlanda,16
Gana,15
Lübnan,
Mauritius,
Antigua ve Barbuda,
Fas,15
Amerika Birleşik Devletleri,15
Butan,
Kamerun,
Moğolistan,
Ermenistan,
Danimarka,14
Makao,
Mısır,13
Myanmar (Burma),
Birleşik Krallık,12
Malezya,12
İsveç,12
Kıbrıs,
Hollanda,12
Avustralya,11
Uganda,
Malta,
Norveç,11
İzlanda,
Katar,
Senegal,
Benin,
Laos,
Güney Afrika,10
Finlandiya,10
Tayvan,10
Portekiz,10
Estonya,
Almanya,10
Kuzey Makedonya,
Somali,
Vietnam,10
Yeni Zelanda,10
Ürdün,
Bahreyn,
Umman,
Namibya,
Filistin,
Brunei,
Tanzanya,
Belçika,9
Togo,
Arnavutluk,
Filipinler,8
Barbados,
Avusturya,8
Trinidad ve Tobago,
Yunanistan,8
Peru,8
Afganistan,
Cezayir,8
Sudan,
Kosta Rika,
Fransa,7
Kolombiya,7
İspanya,7
Azerbaycan,
Suudi Arabistan,7
Litvanya,
Kamboçya,
Sırbistan,7
Tayland,7
Côte d’Ivoire,
İtalya,7
Küba,
Zambiya,
Sierra Leone,
Slovenya,
Belize,
Kosova,
Şili,6
Romanya,6
Jamaika,
Hırvatistan,
Kongo - Kinşasa,
Endonezya,6
Uruguay,
Bulgaristan,6
Yeni Kaledonya,
Letonya,
Irak,
Gürcistan,
İran,5
Panama,
Çekya,5
Ekvador,5
Burkina Faso,
Bahamalar,
Suriye,
Bolivya,
Polonya,5
Mozambik,
Brezilya,5
Karadağ,
Macaristan,4
Libya,
Angola,
Kuveyt,
Bosna-Hersek,
Arjantin,4
Slovakya,
Yemen,
Haiti,
El Salvador,
Meksika,4
Porto Riko,
Kazakistan,4
Türkiye,4
Rusya,4
Guatemala,
Dominik Cumhuriyeti,
Moldova,
Nikaragua,
Özbekistan,
Honduras,
Belarus,
Paraguay,
Surinam,
Ukrayna,3
Venezuela,
Japonya,2
Kırgızistan,
Eritre,
Svalbard ve Jan Mayen,
Falkland Adaları (Malvinas Adaları),
Saint Kitts ve Nevis,
Lesotho,
Cibuti,
Esvatini,
Liechtenstein,
Cebelitarık,
Tonga,
Gambiya,
Saint Vincent ve Grenadinler,
Batı Sahra,
Grönland,
Burundi,
Monako,
Komorlar,
Turks ve Caicos Adaları,
Andorra,
Liberya,
Fiji,
Seyşeller,
Nijer,
Orta Afrika Cumhuriyeti,
Kongo - Brazavil,
Vanuatu,
Dominika,
Maldivler,
Åland Adaları,
Karayip Hollandası,
Faroe Adaları,
Jersey,
Moritanya,
Ekvator Ginesi,
Curaçao,
Guyana,
Man Adası,
Timor-Leste,
Papua Yeni Gine,
Guernsey,
Saint Lucia,
Cayman Adaları,
Saint Martin,
Güney Sudan,
Grenada,
Gabon,
Mali,
San Marino,
Gine-Bissau,
ABD Virjin Adaları,
Reunion,
Cape Verde,
Aruba,
Çad,
Gine,
Tacikistan,
Guam,
Guadeloupe,
Martinik,
Fransız Polinezyası,
Türkmenistan,
Anguilla,
Amerikan Samoası,
Antarktika,
Fransız Güney Toprakları,
Saint Barthelemy,
Bermuda,
Bouvet Adası,
Cocos (Keeling) Adaları,
Cook Adaları,
Christmas Adası,
Mikronezya,
Fransız Guyanası,
Heard Adası ve McDonald Adaları,
Britanya Hint Okyanusu Toprakları,
Kiribati,
Marshall Adaları,
Kuzey Mariana Adaları,
Montserrat,
Mayotte,
Norfolk Adası,
Niue,
Nauru,
Pitcairn Adaları,
Palau,
Kuzey Kore,
Güney Georgia ve Güney Sandwich Adaları,
Solomon Adaları,
Saint Pierre ve Miquelon,
Sao Tome ve Principe,
Sint Maarten,
Tokelau,
Tuvalu,
ABD Küçük Harici Adaları,
Vatikan,
Britanya Virjin Adaları,
Wallis ve Futuna,
Samoa,
